Gmt time,Ask,Bid,AskVolume,BidVolume
13.08.2021 00:00:00.108,110.405,110.40200000000002,1.95,1.25
13.08.2021 00:00:00.210,110.40899999999999,110.405,2.32,1
13.08.2021 00:00:00.311,110.40899999999999,110.406,1.87,1.25
13.08.2021 00:00:00.463,110.40899999999999,110.40700000000001,1,1.25
13.08.2021 00:00:00.665,110.41,110.40700000000001,1.1,1.25
13.08.2021 00:00:00.817,110.41,110.406,1,2.89
13.08.2021 00:00:00.968,110.412,110.405,1.1,2.89
13.08.2021 00:00:02.400,110.411,110.40700000000001,1.2,1
13.08.2021 00:00:02.908,110.411,110.406,1.2,3.64
13.08.2021 00:00:03.379,110.411,110.40700000000001,1.2,1
13.08.2021 00:00:03.531,110.411,110.406,1.2,3.64
13.08.2021 00:00:04.047,110.411,110.40700000000001,1.2,1
13.08.2021 00:00:04.148,110.411,110.406,1.2,3.64
13.08.2021 00:00:05.109,110.411,110.40700000000001,1.95,1
13.08.2021 00:00:06.780,110.41,110.40700000000001,1,1.25
13.08.2021 00:00:07.791,110.41,110.406,2.32,2.44
13.08.2021 00:00:08.805,110.40899999999999,110.406,1,1.69
13.08.2021 00:00:10.467,110.40700000000001,110.404,5.1,1.5
13.08.2021 00:00:10.518,110.405,110.40200000000002,1,3.34
13.08.2021 00:00:12.741,110.406,110.404,1.12,1.25
13.08.2021 00:00:12.793,110.408,110.404,1.95,2.2
13.08.2021 00:00:12.945,110.40899999999999,110.405,1,1.25
13.08.2021 00:00:13.149,110.40899999999999,110.406,1.2,1.25
13.08.2021 00:00:14.940,110.41,110.406,1.95,2.95
13.08.2021 00:00:16.730,110.411,110.40700000000001,1.95,1.39
13.08.2021 00:00:18.922,110.41,110.40700000000001,1.2,1.25
13.08.2021 00:00:20.706,110.40899999999999,110.406,1,3.14
13.08.2021 00:00:23.087,110.41,110.406,1.2,3.14
13.08.2021 00:00:30.626,110.411,110.40700000000001,1.2,2.14
13.08.2021 00:00:33.392,110.411,110.40700000000001,1.6,1.69
13.08.2021 00:00:35.900,110.412,110.408,1.95,1.95
13.08.2021 00:00:37.615,110.412,110.40899999999999,1.2,1
13.08.2021 00:00:38.264,110.414,110.411,1,1.2
13.08.2021 00:00:39.090,110.415,110.411,1.01,1.95
13.08.2021 00:00:42.010,110.41600000000001,110.413,1.1,1
13.08.2021 00:00:42.062,110.41700000000002,110.414,1.57,1
13.08.2021 00:00:42.164,110.41700000000002,110.413,1.57,2.14
13.08.2021 00:01:01.489,110.415,110.413,1.25,1.1
13.08.2021 00:01:01.540,110.413,110.41,1.2,1.2
13.08.2021 00:01:01.642,110.412,110.408,1.76,1.57
13.08.2021 00:01:01.743,110.411,110.408,1.2,1
13.08.2021 00:01:01.844,110.41,110.408,1,1
13.08.2021 00:01:02.349,110.41,110.40700000000001,1,1.1
13.08.2021 00:01:02.551,110.41,110.406,1.2,2.51
13.08.2021 00:01:04.601,110.40899999999999,110.406,1,1.01
13.08.2021 00:01:04.703,110.405,110.40299999999999,1.25,4.2
13.08.2021 00:01:04.804,110.404,110.40100000000001,1,1.97
13.08.2021 00:01:04.906,110.404,110.4,2.14,2.32
13.08.2021 00:01:05.260,110.40299999999999,110.399,1.39,1.2
13.08.2021 00:01:08.661,110.40299999999999,110.399,1,1.72
13.08.2021 00:01:15.320,110.40299999999999,110.399,1.39,1.1
13.08.2021 00:01:17.122,110.40200000000002,110.398,1,2.48
13.08.2021 00:01:18.326,110.40100000000001,110.397,1.69,5.47
13.08.2021 00:01:18.428,110.40100000000001,110.397,2.14,1.95
13.08.2021 00:01:18.868,110.399,110.396,1.2,3
13.08.2021 00:01:18.969,110.398,110.395,1.39,1
13.08.2021 00:01:19.071,110.398,110.393,1,1.1
13.08.2021 00:01:19.223,110.397,110.393,2.14,1.2
13.08.2021 00:01:21.246,110.395,110.39200000000001,1.39,1
13.08.2021 00:01:21.449,110.395,110.39,1.25,2.7
13.08.2021 00:01:21.602,110.393,110.39,2.44,1.57
13.08.2021 00:01:21.753,110.393,110.389,3.41,1.5
13.08.2021 00:01:21.854,110.393,110.389,1.95,1.7
13.08.2021 00:01:21.956,110.393,110.389,3.04,1
13.08.2021 00:01:22.533,110.393,110.389,3.26,1.2
13.08.2021 00:01:23.390,110.393,110.391,1,1.2
13.08.2021 00:01:23.491,110.394,110.391,1,1.2
